Survived,Pclass,Sex,Age,SibSp,Parch,Sendiri,Embarked,Fare
0,3,male,22,1,0,0,S,7.25
1,1,female,38,1,0,0,C,71.2833
1,3,female,26,0,0,1,S,7.925
1,1,female,35,1,0,0,S,53.1
0,3,male,35,0,0,1,S,8.05
0,3,male,,0,0,1,Q,8.4583
0,1,male,54,0,0,1,S,51.8625
0,3,male,2,3,1,0,S,21.075
1,3,female,27,0,2,0,S,11.1333
1,2,female,14,1,0,0,C,30.0708
1,3,female,4,1,1,0,S,16.7
1,1,female,58,0,0,1,S,26.55
0,3,male,20,0,0,1,S,8.05
0,3,male,39,1,5,0,S,31.275
0,3,female,14,0,0,1,S,7.8542
1,2,female,55,0,0,1,S,16
0,3,male,2,4,1,0,Q,29.125
1,2,male,,0,0,1,S,13
0,3,female,31,1,0,0,S,18
1,3,female,,0,0,1,C,7.225
0,2,male,35,0,0,1,S,26
1,2,male,34,0,0,1,S,13
1,3,female,15,0,0,1,Q,8.0292
1,1,male,28,0,0,1,S,35.5
0,3,female,8,3,1,0,S,21.075
1,3,female,38,1,5,0,S,31.3875
0,3,male,,0,0,1,C,7.225
0,1,male,19,3,2,0,S,263
1,3,female,,0,0,1,Q,7.8792
0,3,male,,0,0,1,S,7.8958
0,1,male,40,0,0,1,C,27.7208
1,1,female,,1,0,0,C,146.5208
1,3,female,,0,0,1,Q,7.75
0,2,male,66,0,0,1,S,10.5
0,1,male,28,1,0,0,C,82.1708
0,1,male,42,1,0,0,S,52
1,3,male,,0,0,1,C,7.2292
0,3,male,21,0,0,1,S,8.05
0,3,female,18,2,0,0,S,18
1,3,female,14,1,0,0,C,11.2417
0,3,female,40,1,0,0,S,9.475
0,2,female,27,1,0,0,S,21
0,3,male,,0,0,1,C,7.8958
1,2,female,3,1,2,0,C,41.5792
1,3,female,19,0,0,1,Q,7.8792
0,3,male,,0,0,1,S,8.05
0,3,male,,1,0,0,Q,15.5
1,3,female,,0,0,1,Q,7.75
0,3,male,,2,0,0,C,21.6792
0,3,female,18,1,0,0,S,17.8
0,3,male,7,4,1,0,S,39.6875
0,3,male,21,0,0,1,S,7.8
1,1,female,49,1,0,0,C,76.7292
1,2,female,29,1,0,0,S,26
0,1,male,65,0,1,0,C,61.9792
1,1,male,,0,0,1,S,35.5
1,2,female,21,0,0,1,S,10.5
0,3,male,28.5,0,0,1,C,7.2292
1,2,female,5,1,2,0,S,27.75
0,3,male,11,5,2,0,S,46.9
0,3,male,22,0,0,1,C,7.2292
1,1,female,38,0,0,1,,80
0,1,male,45,1,0,0,S,83.475
0,3,male,4,3,2,0,S,27.9
0,1,male,,0,0,1,C,27.7208
1,3,male,,1,1,0,C,15.2458
1,2,female,29,0,0,1,S,10.5
0,3,male,19,0,0,1,S,8.1583
1,3,female,17,4,2,0,S,7.925
0,3,male,26,2,0,0,S,8.6625
0,2,male,32,0,0,1,S,10.5
0,3,female,16,5,2,0,S,46.9
0,2,male,21,0,0,1,S,73.5
0,3,male,26,1,0,0,C,14.4542
1,3,male,32,0,0,1,S,56.4958
0,3,male,25,0,0,1,S,7.65
0,3,male,,0,0,1,S,7.8958
0,3,male,,0,0,1,S,8.05
1,2,male,0.83,0,2,0,S,29
1,3,female,30,0,0,1,S,12.475
0,3,male,22,0,0,1,S,9
1,3,male,29,0,0,1,S,9.5
1,3,female,,0,0,1,Q,7.7875
0,1,male,28,0,0,1,S,47.1
1,2,female,17,0,0,1,S,10.5
1,3,female,33,3,0,0,S,15.85
0,3,male,16,1,3,0,S,34.375
0,3,male,,0,0,1,S,8.05
1,1,female,23,3,2,0,S,263
0,3,male,24,0,0,1,S,8.05
0,3,male,29,0,0,1,S,8.05
0,3,male,20,0,0,1,S,7.8542
0,1,male,46,1,0,0,S,61.175
0,3,male,26,1,2,0,S,20.575
0,3,male,59,0,0,1,S,7.25
0,3,male,,0,0,1,S,8.05
0,1,male,71,0,0,1,C,34.6542
1,1,male,23,0,1,0,C,63.3583
1,2,female,34,0,1,0,S,23
0,2,male,34,1,0,0,S,26
0,3,female,28,0,0,1,S,7.8958
0,3,male,,0,0,1,S,7.8958
0,1,male,21,0,1,0,S,77.2875
0,3,male,33,0,0,1,S,8.6542
0,3,male,37,2,0,0,S,7.925
0,3,male,28,0,0,1,S,7.8958
1,3,female,21,0,0,1,S,7.65
1,3,male,,0,0,1,S,7.775
0,3,male,38,0,0,1,S,7.8958
1,3,female,,1,0,0,Q,24.15
0,1,male,47,0,0,1,S,52
0,3,female,14.5,1,0,0,C,14.4542
0,3,male,22,0,0,1,S,8.05
0,3,female,20,1,0,0,S,9.825
0,3,female,17,0,0,1,C,14.4583
0,3,male,21,0,0,1,S,7.925
0,3,male,70.5,0,0,1,Q,7.75
0,2,male,29,1,0,0,S,21
0,1,male,24,0,1,0,C,247.5208
0,3,female,2,4,2,0,S,31.275
0,2,male,21,2,0,0,S,73.5
0,3,male,,0,0,1,S,8.05
0,2,male,32.5,1,0,0,C,30.0708
1,2,female,32.5,0,0,1,S,13
0,1,male,54,0,1,0,S,77.2875
1,3,male,12,1,0,0,C,11.2417
0,3,male,,0,0,1,Q,7.75
1,3,male,24,0,0,1,S,7.1417
1,3,female,,1,1,0,C,22.3583
0,3,male,45,0,0,1,S,6.975
0,3,male,33,0,0,1,C,7.8958
0,3,male,20,0,0,1,S,7.05
0,3,female,47,1,0,0,S,14.5
1,2,female,29,1,0,0,S,26
0,2,male,25,0,0,1,S,13
0,2,male,23,0,0,1,C,15.0458
1,1,female,19,0,2,0,S,26.2833
0,1,male,37,1,0,0,S,53.1
0,3,male,16,0,0,1,S,9.2167
0,1,male,24,0,0,1,C,79.2
0,3,female,,0,2,0,C,15.2458
1,3,female,22,0,0,1,S,7.75
1,3,female,24,1,0,0,S,15.85
0,3,male,19,0,0,1,Q,6.75
0,2,male,18,0,0,1,S,11.5
0,2,male,19,1,1,0,S,36.75
1,3,male,27,0,0,1,S,7.7958
0,3,female,9,2,2,0,S,34.375
0,2,male,36.5,0,2,0,S,26
0,2,male,42,0,0,1,S,13
0,2,male,51,0,0,1,S,12.525
1,1,female,22,1,0,0,S,66.6
0,3,male,55.5,0,0,1,S,8.05
0,3,male,40.5,0,2,0,S,14.5
0,3,male,,0,0,1,S,7.3125
0,1,male,51,0,1,0,C,61.3792
1,3,female,16,0,0,1,Q,7.7333
0,3,male,30,0,0,1,S,8.05
0,3,male,,0,0,1,S,8.6625
0,3,male,,8,2,0,S,69.55
0,3,male,44,0,1,0,S,16.1
1,2,female,40,0,0,1,S,15.75
0,3,male,26,0,0,1,S,7.775
0,3,male,17,0,0,1,S,8.6625
0,3,male,1,4,1,0,S,39.6875
1,3,male,9,0,2,0,S,20.525
1,1,female,,0,1,0,S,55
0,3,female,45,1,4,0,S,27.9
0,1,male,,0,0,1,S,25.925
0,3,male,28,0,0,1,S,56.4958
0,1,male,61,0,0,1,S,33.5
0,3,male,4,4,1,0,Q,29.125
1,3,female,1,1,1,0,S,11.1333
0,3,male,21,0,0,1,S,7.925
0,1,male,56,0,0,1,C,30.6958
0,3,male,18,1,1,0,S,7.8542
0,3,male,,3,1,0,S,25.4667
0,1,female,50,0,0,1,C,28.7125
0,2,male,30,0,0,1,S,13
0,3,male,36,0,0,1,S,0
0,3,female,,8,2,0,S,69.55
0,2,male,,0,0,1,C,15.05
0,3,male,9,4,2,0,S,31.3875
1,2,male,1,2,1,0,S,39
1,3,female,4,0,2,0,S,22.025
0,1,male,,0,0,1,S,50
1,3,female,,1,0,0,Q,15.5
1,1,male,45,0,0,1,S,26.55
0,3,male,40,1,1,0,Q,15.5
0,3,male,36,0,0,1,S,7.8958
1,2,female,32,0,0,1,S,13
0,2,male,19,0,0,1,S,13
1,3,female,19,1,0,0,S,7.8542
1,2,male,3,1,1,0,S,26
1,1,female,44,0,0,1,C,27.7208
1,1,female,58,0,0,1,C,146.5208
0,3,male,,0,0,1,Q,7.75
0,3,male,42,0,1,0,S,8.4042
1,3,female,,0,0,1,Q,7.75
0,2,female,24,0,0,1,S,13
0,3,male,28,0,0,1,S,9.5
0,3,male,,8,2,0,S,69.55
0,3,male,34,0,0,1,S,6.4958
0,3,male,45.5,0,0,1,C,7.225
1,3,male,18,0,0,1,S,8.05
0,3,female,2,0,1,0,S,10.4625
0,3,male,32,1,0,0,S,15.85
1,3,male,26,0,0,1,C,18.7875
1,3,female,16,0,0,1,Q,7.75
1,1,male,40,0,0,1,C,31
0,3,male,24,0,0,1,S,7.05
1,2,female,35,0,0,1,S,21
0,3,male,22,0,0,1,S,7.25
0,2,male,30,0,0,1,S,13
0,3,male,,1,0,0,Q,7.75
1,1,female,31,1,0,0,C,113.275
1,3,female,27,0,0,1,S,7.925
0,2,male,42,1,0,0,S,27
1,1,female,32,0,0,1,C,76.2917
0,2,male,30,0,0,1,S,10.5
1,3,male,16,0,0,1,S,8.05
0,2,male,27,0,0,1,S,13
0,3,male,51,0,0,1,S,8.05
0,3,male,,0,0,1,S,7.8958
1,1,male,38,1,0,0,S,90
0,3,male,22,0,0,1,S,9.35
1,2,male,19,0,0,1,S,10.5
0,3,male,20.5,0,0,1,S,7.25
0,2,male,18,0,0,1,S,13
0,3,female,,3,1,0,S,25.4667
1,1,female,35,1,0,0,S,83.475
0,3,male,29,0,0,1,S,7.775
0,2,male,59,0,0,1,S,13.5
1,3,female,5,4,2,0,S,31.3875
0,2,male,24,0,0,1,S,10.5
0,3,female,,0,0,1,S,7.55
0,2,male,44,1,0,0,S,26
1,2,female,8,0,2,0,S,26.25
0,2,male,19,0,0,1,S,10.5
0,2,male,33,0,0,1,S,12.275
0,3,female,,1,0,0,C,14.4542
1,3,female,,1,0,0,Q,15.5
0,2,male,29,0,0,1,S,10.5
0,3,male,22,0,0,1,S,7.125
0,3,male,30,0,0,1,C,7.225
0,1,male,44,2,0,0,Q,90
0,3,female,25,0,0,1,S,7.775
1,2,female,24,0,2,0,S,14.5
1,1,male,37,1,1,0,S,52.5542
0,2,male,54,1,0,0,S,26
0,3,male,,0,0,1,S,7.25
0,3,female,29,1,1,0,S,10.4625
0,1,male,62,0,0,1,S,26.55
0,3,male,30,1,0,0,S,16.1
0,3,female,41,0,2,0,S,20.2125
1,3,female,29,0,2,0,C,15.2458
1,1,female,,0,0,1,C,79.2
1,1,female,30,0,0,1,S,86.5
1,1,female,35,0,0,1,C,512.3292
1,2,female,50,0,1,0,S,26
0,3,male,,0,0,1,Q,7.75
1,3,male,3,4,2,0,S,31.3875
0,1,male,52,1,1,0,S,79.65
0,1,male,40,0,0,1,S,0
0,3,female,,0,0,1,Q,7.75
0,2,male,36,0,0,1,S,10.5
0,3,male,16,4,1,0,S,39.6875
1,3,male,25,1,0,0,S,7.775
1,1,female,58,0,1,0,S,153.4625
1,1,female,35,0,0,1,S,135.6333
0,1,male,,0,0,1,S,31
1,3,male,25,0,0,1,S,0
1,2,female,41,0,1,0,S,19.5
0,1,male,37,0,1,0,C,29.7
1,3,female,,0,0,1,Q,7.75
1,1,female,63,1,0,0,S,77.9583
0,3,female,45,0,0,1,S,7.75
0,2,male,,0,0,1,S,0
0,3,male,7,4,1,0,Q,29.125
1,3,female,35,1,1,0,S,20.25
0,3,male,65,0,0,1,Q,7.75
0,3,male,28,0,0,1,S,7.8542
0,3,male,16,0,0,1,S,9.5
1,3,male,19,0,0,1,S,8.05
0,1,male,,0,0,1,S,26
0,3,male,33,0,0,1,C,8.6625
1,3,male,30,0,0,1,S,9.5
0,3,male,22,0,0,1,S,7.8958
1,2,male,42,0,0,1,S,13
1,3,female,22,0,0,1,Q,7.75
1,1,female,26,0,0,1,S,78.85
1,1,female,19,1,0,0,C,91.0792
0,2,male,36,0,0,1,C,12.875
0,3,female,24,0,0,1,S,8.85
0,3,male,24,0,0,1,S,7.8958
0,1,male,,0,0,1,C,27.7208
0,3,male,23.5,0,0,1,C,7.2292
0,1,female,2,1,2,0,S,151.55
1,1,male,,0,0,1,S,30.5
1,1,female,50,0,1,0,C,247.5208
1,3,female,,0,0,1,Q,7.75
1,3,male,,2,0,0,Q,23.25
0,3,male,19,0,0,1,S,0
1,2,female,,0,0,1,Q,12.35
0,3,male,,0,0,1,S,8.05
1,1,male,0.92,1,2,0,S,151.55
1,1,female,,0,0,1,C,110.8833
1,1,female,17,1,0,0,C,108.9
0,2,male,30,1,0,0,C,24
1,1,female,30,0,0,1,C,56.9292
1,1,female,24,0,0,1,C,83.1583
1,1,female,18,2,2,0,C,262.375
0,2,female,26,1,1,0,S,26
0,3,male,28,0,0,1,S,7.8958
0,2,male,43,1,1,0,S,26.25
1,3,female,26,0,0,1,S,7.8542
1,2,female,24,1,0,0,S,26
0,2,male,54,0,0,1,S,14
1,1,female,31,0,2,0,S,164.8667
1,1,female,40,1,1,0,C,134.5
0,3,male,22,0,0,1,S,7.25
0,3,male,27,0,0,1,S,7.8958
1,2,female,30,0,0,1,Q,12.35
1,2,female,22,1,1,0,S,29
0,3,male,,8,2,0,S,69.55
1,1,female,36,0,0,1,C,135.6333
0,3,male,61,0,0,1,S,6.2375
1,2,female,36,0,0,1,S,13
1,3,female,31,1,1,0,S,20.525
1,1,female,16,0,1,0,C,57.9792
1,3,female,,2,0,0,Q,23.25
0,1,male,45.5,0,0,1,S,28.5
0,1,male,38,0,1,0,S,153.4625
0,3,male,16,2,0,0,S,18
1,1,female,,1,0,0,S,133.65
0,3,male,,0,0,1,S,7.8958
0,1,male,29,1,0,0,S,66.6
1,1,female,41,0,0,1,C,134.5
1,3,male,45,0,0,1,S,8.05
0,1,male,45,0,0,1,S,35.5
1,2,male,2,1,1,0,S,26
1,1,female,24,3,2,0,S,263
0,2,male,28,0,0,1,S,13
0,2,male,25,0,0,1,S,13
0,2,male,36,0,0,1,S,13
1,2,female,24,0,0,1,S,13
1,2,female,40,0,0,1,S,13
1,3,female,,1,0,0,S,16.1
1,3,male,3,1,1,0,S,15.9
0,3,male,42,0,0,1,S,8.6625
0,3,male,23,0,0,1,S,9.225
0,1,male,,0,0,1,S,35
0,3,male,15,1,1,0,C,7.2292
0,3,male,25,1,0,0,S,17.8
0,3,male,,0,0,1,C,7.225
0,3,male,28,0,0,1,S,9.5
1,1,female,22,0,1,0,S,55
0,2,female,38,0,0,1,S,13
1,3,female,,0,0,1,Q,7.8792
1,3,female,,0,0,1,Q,7.8792
0,3,male,40,1,4,0,S,27.9
0,2,male,29,1,0,0,C,27.7208
0,3,female,45,0,1,0,C,14.4542
0,3,male,35,0,0,1,S,7.05
0,3,male,,1,0,0,Q,15.5
0,3,male,30,0,0,1,S,7.25
1,1,female,60,1,0,0,C,75.25
1,3,female,,0,0,1,C,7.2292
1,3,female,,0,0,1,Q,7.75
1,1,female,24,0,0,1,C,69.3
1,1,male,25,1,0,0,C,55.4417
0,3,male,18,1,0,0,S,6.4958
0,3,male,19,0,0,1,S,8.05
0,1,male,22,0,0,1,C,135.6333
0,3,female,3,3,1,0,S,21.075
1,1,female,,1,0,0,C,82.1708
1,3,female,22,0,0,1,S,7.25
0,1,male,27,0,2,0,C,211.5
0,3,male,20,0,0,1,C,4.0125
0,3,male,19,0,0,1,S,7.775
1,1,female,42,0,0,1,C,227.525
1,3,female,1,0,2,0,C,15.7417
0,3,male,32,0,0,1,S,7.925
1,1,female,35,1,0,0,S,52
0,3,male,,0,0,1,S,7.8958
0,2,male,18,0,0,1,S,73.5
0,3,male,1,5,2,0,S,46.9
1,2,female,36,0,0,1,S,13
0,3,male,,0,0,1,Q,7.7292
1,2,female,17,0,0,1,C,12
1,1,male,36,1,2,0,S,120
1,3,male,21,0,0,1,S,7.7958
0,3,male,28,2,0,0,S,7.925
1,1,female,23,1,0,0,C,113.275
1,3,female,24,0,2,0,S,16.7
0,3,male,22,0,0,1,S,7.7958
0,3,female,31,0,0,1,S,7.8542
0,2,male,46,0,0,1,S,26
0,2,male,23,0,0,1,S,10.5
1,2,female,28,0,0,1,S,12.65
1,3,male,39,0,0,1,S,7.925
0,3,male,26,0,0,1,S,8.05
0,3,female,21,1,0,0,S,9.825
0,3,male,28,1,0,0,S,15.85
0,3,female,20,0,0,1,S,8.6625
0,2,male,34,1,0,0,S,21
0,3,male,51,0,0,1,S,7.75
1,2,male,3,1,1,0,S,18.75
0,3,male,21,0,0,1,S,7.775
0,3,female,,3,1,0,S,25.4667
0,3,male,,0,0,1,S,7.8958
0,3,male,,0,0,1,Q,6.8583
1,1,female,33,1,0,0,Q,90
0,2,male,,0,0,1,S,0
1,3,male,44,0,0,1,S,7.925
0,3,female,,0,0,1,S,8.05
1,2,female,34,1,1,0,S,32.5
1,2,female,18,0,2,0,S,13
0,2,male,30,0,0,1,S,13
0,3,female,10,0,2,0,S,24.15
0,3,male,,0,0,1,C,7.8958
0,3,male,21,0,0,1,Q,7.7333
0,3,male,29,0,0,1,S,7.875
0,3,female,28,1,1,0,S,14.4
0,3,male,18,1,1,0,S,20.2125
0,3,male,,0,0,1,S,7.25
1,2,female,28,1,0,0,S,26
1,2,female,19,0,0,1,S,26
0,3,male,,0,0,1,Q,7.75
1,3,male,32,0,0,1,S,8.05
1,1,male,28,0,0,1,S,26.55
1,3,female,,1,0,0,S,16.1
1,2,female,42,1,0,0,S,26
0,3,male,17,0,0,1,S,7.125
0,1,male,50,1,0,0,S,55.9
1,1,female,14,1,2,0,S,120
0,3,female,21,2,2,0,S,34.375
1,2,female,24,2,3,0,S,18.75
0,1,male,64,1,4,0,S,263
0,2,male,31,0,0,1,S,10.5
1,2,female,45,1,1,0,S,26.25
0,3,male,20,0,0,1,S,9.5
0,3,male,25,1,0,0,S,7.775
